recency	Older	#416DCE
recency	One month ago	#59A3AA
recency	One week ago	#84BA6F
recency	3-7 days ago	#BBBC49
recency	1-2 days ago	#E29D39
recency	New	#E1502A

region	Oceania	#416DCE
region	Asia	#59A3AA
region	Africa	#84BA6F
region	Europe	#BBBC49
region	North America	#E29D39
region	South America	#E1502A

